id,first_name,second_name,web_name,team,team_name,position,price,total_points,minutes,goals_scored,assists,clean_sheets,bonus,bps,form,points_per_game,selected_by_percent,ict_index,influence,creativity,threat,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,yellow_cards,red_cards,saves,penalties_saved,penalties_missed,status,chance_of_playing_next_round,code
442,"Ibrahim","Sangaré","Sangaré",16,"Nott'm Forest","Midfielder","4.3",11,270,0,1,1,0,49,"0.3","1.6","1.3","11.4","63.8","29.2","21.0","0.02","0.06","0.08","2.85",2,0,0,0,0,"a",100,210462
443,"Matz","Sels","Sels",16,"Nott'm Forest","Goalkeeper","5.1",125,2610,0,1,12,10,423,"5.0","4.3","18.7","71.0","695.8","10.1","0.0","0.00","0.07","0.07","34.53",2,0,89,0,0,"a",100,85633
444,"Harry","Toffolo","Toffolo",16,"Nott'm Forest","Defender","4.2",3,45,0,0,0,0,8,"0.0","1.0","0.1","2.8","18.2","3.3","6.0","0.02","0.01","0.03","0.74",0,0,0,0,0,"a",,114241
446,"Hwang","Ui-jo","Ui-jo",16,"Nott'm Forest","Forward","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.8","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,201440
447,"Chris","Wood","Wood",16,"Nott'm Forest","Forward","7.3",174,2343,18,3,14,37,668,"2.0","6.0","48.0","173.3","744.0","225.4","762.0","10.90","1.08","11.98","30.04",1,0,0,0,0,"d",75,60689
448,"Joe","Worrall","Worrall",16,"Nott'm Forest","Defender","4.5",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"u",0,208912
449,"Ryan","Yates","Yates",16,"Nott'm Forest","Midfielder","4.8",53,1537,2,1,5,3,242,"0.7","2.0","0.1","70.2","256.6","203.0","240.0","2.24","0.43","2.67","19.12",8,0,0,0,0,"a",100,204968
573,"Nikola","Milenković","Milenković",16,"Nott'm Forest","Defender","4.9",120,2520,4,2,12,2,401,"7.3","4.3","10.0","97.7","603.4","72.8","303.0","3.61","0.60","4.21","33.31",4,0,0,0,0,"a",,227444
596,"João Pedro","Ferreira Silva","Jota Silva",16,"Nott'm Forest","Midfielder","5.9",42,708,2,2,1,0,177,"2.0","1.7","0.1","52.0","176.6","170.6","171.0","1.52","1.85","3.37","10.07",4,0,0,0,0,"a",100,510500
620,"Ramón","Sosa","Sosa",16,"Nott'm Forest","Midfielder","5.5",20,229,1,0,1,0,79,"0.0","1.4","0.1","25.8","77.2","88.0","94.0","1.04","0.30","1.34","2.66",1,0,0,0,0,"a",,502222
653,"Felipe","Rodrigues da Silva","Morato",16,"Nott'm Forest","Defender","4.5",34,616,0,0,3,2,123,"0.3","1.7","0.1","17.6","164.2","5.2","5.0","0.10","0.02","0.12","8.16",1,0,0,0,0,"a",,485047
706,"Zach","Abbott","Abbott",16,"Nott'm Forest","Defender","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"a",,549067
721,"Wayne","Hennessey","Hennessey",16,"Nott'm Forest","Goalkeeper","4.0",0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"a",,20066
747,"Nuno Herlander","Simões Espírito Santo","Nuno",16,"Nott'm Forest","Manager","1.1",43,0,0,0,0,0,0,"8.0","0.0","6.5","0.0","0.0","0.0","0.0","0.00","0.00","0.00","0.00",0,0,0,0,0,"a",,100041808
14,"Aaron","Ramsdale","Ramsdale",17,"Southampton","Goalkeeper","4.4",57,1890,0,0,2,5,201,"1.7","2.7","1.2","67.4","673.0","0.0","0.0","0.00","0.03","0.03","48.97",2,0,91,0,0,"a",100,225321
27,"Cameron","Archer","Archer",17,"Southampton","Forward","4.9",46,1166,2,0,1,4,116,"1.0","1.8","1.3","47.5","102.6","63.5","311.0","4.88","0.54","5.42","32.53",0,0,0,0,1,"a",,433979
188,"Lesley","Ugochukwu","Ugochukwu",17,"Southampton","Midfielder","4.4",26,1022,0,1,0,0,128,"1.3","1.4","0.3","35.6","167.4","149.2","40.0","0.36","0.43","0.79","28.20",4,0,0,0,0,"a",100,503714
397,"Ryan","Fraser","Fraser",17,"Southampton","Midfielder","4.8",7,303,0,0,0,0,31,"0.0","0.9","0.0","6.7","35.8","26.8","13.0","0.02","0.10","0.12","10.39",0,1,0,0,0,"d",50,90105
451,"Samuel","Amo-Ameyaw","Amo-Ameyaw",17,"Southampton","Midfielder","4.4",1,26,0,0,0,0,1,"0.0","0.5","0.1","2.6","4.0","16.1","6.0","0.02","0.13","0.15","1.11",1,0,0,0,0,"u",0,499724
452,"Joe","Aribo","Aribo",17,"Southampton","Midfielder","4.9",67,1821,3,0,1,7,360,"1.7","2.4","0.1","86.8","355.4","275.2","235.0","2.66","1.21","3.87","51.26",1,0,0,0,0,"a",,193204
